id,Latitude,Longitude
11,37.017178,72.960368
12,37.038632,73.517578
13,37.058318,74.074990
14,37.076234,74.632587
15,37.092380,75.190354
16,37.106755,75.748270
68,36.546830,72.433315
69,36.570007,72.988117
70,36.591419,73.543136
71,36.611065,74.098356
72,36.628945,74.653759
73,36.645059,75.209329
74,36.659406,75.765047
75,36.671985,76.320898
126,36.098849,72.463016
127,36.121978,73.015647
128,36.143346,73.568494
129,36.162952,74.121538
130,36.180795,74.674764
131,36.196876,75.228155
132,36.211194,75.781692
133,36.223748,76.335360
134,36.234538,76.889141
137,36.256323,78.550993
138,36.260056,79.105056
139,36.262024,79.659147
184,35.650040,72.492485
185,35.673121,73.042963
186,35.694443,73.593653
187,35.714008,74.144540
188,35.731814,74.695605
189,35.747861,75.246833
190,35.762148,75.798207
191,35.774676,76.349709
192,35.785443,76.901324
193,35.794451,77.453033
194,35.801697,78.004820
195,35.807183,78.556669
196,35.810908,79.108562
197,35.812872,79.660482
198,35.813074,80.212413
199,35.811516,80.764337
243,35.223463,73.070066
244,35.244740,73.618617
245,35.264262,74.167362
246,35.282029,74.716284
247,35.298042,75.265366
248,35.312299,75.814593
249,35.324799,76.363947
250,35.335544,76.913411
251,35.344532,77.462969
252,35.351763,78.012605
253,35.357237,78.562300
254,35.360953,79.112040
255,35.362913,79.661807
256,35.363115,80.211584
257,35.361560,80.761355
301,34.773035,73.096958
302,34.794264,73.643387
303,34.813744,74.190007
304,34.831472,74.736802
305,34.847449,75.283756
306,34.861674,75.830852
307,34.874147,76.378073
308,34.884868,76.925404
309,34.893836,77.472828
310,34.901051,78.020328
311,34.906513,78.567888
312,34.910222,79.115492
313,34.912177,79.663121
314,34.912379,80.210762
359,34.321865,73.123643
360,34.343047,73.667966
361,34.362482,74.212477
362,34.380170,74.757161
363,34.396111,75.302003
364,34.410304,75.846984
365,34.422749,76.392091
366,34.433446,76.937305
367,34.442394,77.482611
368,34.449592,78.027992
369,34.455042,78.573433
370,34.458742,79.118916
371,34.460693,79.664426
372,34.460895,80.209946
417,33.869984,73.150123
418,33.891117,73.692355
419,33.910507,74.234774
420,33.928154,74.777364
421,33.944058,75.320109
422,33.958218,75.862993
423,33.970635,76.406000
424,33.981307,76.949114
425,33.990234,77.492318
426,33.997416,78.035597
427,34.002853,78.578935
428,34.006545,79.122314
429,34.008491,79.665720
475,33.417421,73.176399
476,33.438504,73.716557
477,33.457848,74.256900
478,33.475453,74.797411
479,33.491320,75.338076
480,33.505447,75.878879
481,33.517833,76.419802
482,33.528480,76.960832
483,33.537386,77.501951
484,33.544551,78.043144
485,33.549976,78.584394
486,33.553659,79.125686
487,33.555601,79.667004
533,32.964206,73.202475
534,32.985237,73.740575
535,33.004535,74.278856
536,33.022097,74.817306
537,33.037925,75.355906
538,33.052018,75.894643
539,33.064375,76.433499
540,33.074996,76.972460
541,33.083881,77.511510
542,33.091029,78.050632
543,33.096440,78.589812
544,33.100114,79.129033
545,33.102051,79.668279
592,32.531348,73.764409
593,32.550597,74.300646
594,32.568117,74.837048
595,32.583905,75.373600
596,32.597963,75.910287
597,32.610290,76.447092
598,32.620884,76.984000
599,32.629747,77.520996
600,32.636877,78.058064
601,32.642275,78.595188
602,32.645940,79.132353
603,32.647873,79.669544
651,32.096065,74.322271
652,32.113540,74.856641
653,32.129289,75.391160
654,32.143312,75.925812
655,32.155607,76.460581
656,32.166175,76.995452
657,32.175016,77.530410
658,32.182128,78.065439
659,32.187512,78.600524
660,32.191168,79.135649
661,32.193095,79.670799
709,31.640969,74.343731
710,31.658399,74.876086
711,31.674108,75.408587
712,31.688094,75.941220
713,31.700358,76.473968
714,31.710898,77.006818
715,31.719716,77.539753
716,31.726810,78.072758
717,31.732180,78.605819
718,31.735827,79.138919
767,31.185339,74.365031
768,31.202723,74.895385
769,31.218390,75.425883
770,31.232339,75.956512
771,31.244571,76.487255
772,31.255084,77.018098
773,31.263878,77.549025
774,31.270954,78.080022
775,31.276310,78.611074
776,31.279947,79.142165
777,31.281865,79.673281
778,31.282063,80.204406
824,30.710155,73.857961
825,30.729204,74.386171
826,30.746542,74.914539
827,30.762167,75.443049
828,30.776079,75.971689
829,30.788278,76.500442
830,30.798762,77.029293
831,30.807533,77.558228
832,30.814590,78.087232
833,30.819932,78.616290
834,30.823559,79.145387
835,30.825471,79.674508
836,30.825669,80.203638
837,30.824151,80.732762
881,30.232895,73.354842
882,30.253599,73.880912
883,30.272596,74.407152
884,30.289886,74.933549
885,30.305468,75.460087
886,30.319342,75.986752
887,30.331508,76.513530
888,30.341964,77.040404
889,30.350711,77.567362
890,30.357748,78.094388
891,30.363075,78.621467
892,30.366692,79.148584
893,30.368600,79.675726
894,30.368797,80.202876
895,30.367283,80.730021
896,30.364060,81.257145
921,29.728898,94.385759
922,29.681402,94.907233
923,29.632218,95.428298
924,29.581346,95.948940
925,29.528790,96.469144
938,29.753607,72.855642
939,29.775954,73.379576
940,29.796600,73.903692
941,29.815544,74.427978
942,29.832786,74.952418
943,29.848325,75.476998
944,29.862160,76.001704
945,29.874291,76.526520
946,29.884718,77.051433
947,29.893441,77.576428
948,29.900459,78.101490
949,29.905771,78.626605
950,29.909378,79.151758
951,29.911280,79.676934
952,29.911476,80.202120
953,29.909967,80.727300
954,29.906753,81.252459
978,29.319055,93.812542
979,29.273379,94.332505
980,29.226018,94.852078
981,29.176974,95.371245
982,29.126247,95.889994
983,29.073841,96.408310
984,29.019756,96.926180
995,29.272339,72.360327
996,29.296318,72.882129
997,29.318602,73.404126
998,29.339189,73.926304
999,29.358079,74.448649
1000,29.375272,74.971147
1001,29.390766,75.493784
1002,29.404562,76.016544
1003,29.416659,76.539414
1004,29.427057,77.062380
1005,29.435754,77.585426
1006,29.442752,78.108540
1007,29.448049,78.631705
1008,29.451646,79.154908
1009,29.453543,79.678134
1010,29.453739,80.201369
1011,29.452234,80.724599
1035,28.906876,93.243128
1036,28.863014,93.761573
1037,28.817470,94.279644
1038,28.770247,94.797328
1039,28.721345,95.314611
1040,28.670766,95.831480
1041,28.618512,96.347921
1042,28.564585,96.863922
1043,28.508986,97.379468
1052,28.789141,71.868864
1053,28.814740,72.388538
1054,28.838650,72.908420
1055,28.860868,73.428495
1056,28.881396,73.948749
1057,28.900231,74.469168
1058,28.917374,74.989738
1059,28.932824,75.510445
1060,28.946580,76.031275
1061,28.958641,76.552213
1062,28.969009,77.073246
1063,28.977681,77.594358
1064,28.984659,78.115537
1065,28.989941,78.636767
1066,28.993528,79.158034
1067,28.995418,79.679325
1068,28.995614,80.200624
1069,28.994113,80.721918
1092,28.492401,92.677499
1093,28.450346,93.194416
1094,28.406613,93.710977
1095,28.361203,94.227169
1096,28.314119,94.742978
1097,28.265362,95.258391
1098,28.214933,95.773394
1099,28.162834,96.287974
1100,28.109066,96.802117
1101,28.053633,97.315812
1107,28.244599,70.346830
1108,28.275172,70.863902
1109,28.304062,71.381221
1110,28.331269,71.898772
1111,28.356792,72.416542
1112,28.380631,72.934517
1113,28.402784,73.452684
1114,28.423251,73.971028
1115,28.442030,74.489535
1116,28.459123,75.008192
1117,28.474527,75.526984
1118,28.488242,76.045897
1119,28.500269,76.564918
1120,28.510605,77.084031
1121,28.519252,77.603225
1122,28.526209,78.122483
1123,28.531476,78.641792
1124,28.535052,79.161138
1125,28.536937,79.680507
1126,28.537132,80.199885
1127,28.535636,80.719257
1128,28.532449,81.238609
1141,28.337296,87.982009
1142,28.310477,88.499612
1143,28.281974,89.016985
1148,28.114247,91.599926
1149,28.075667,92.115634
1150,28.035412,92.631016
1151,27.993482,93.146060
1152,27.949880,93.660752
1153,27.904607,94.175078
1154,27.857664,94.689025
1155,27.809054,95.202580
1156,27.758776,95.715730
1157,27.706835,96.228462
1158,27.653230,96.740762
1159,27.597964,97.252618
1164,27.754516,69.867241
1165,27.786671,70.382174
1166,27.817151,70.897363
1167,27.845954,71.412797
1168,27.873079,71.928460
1169,27.898526,72.444341
1170,27.922293,72.960424
1171,27.944379,73.476696
1172,27.964784,73.993144
1173,27.983507,74.509753
1174,28.000548,75.026510
1175,28.015906,75.543401
1176,28.029580,76.060412
1177,28.041571,76.577529
1178,28.051877,77.094738
1179,28.060498,77.612026
1180,28.067434,78.129378
1181,28.072684,78.646780
1182,28.076250,79.164219
1183,28.078129,79.681680
1184,28.078324,80.199150
1185,28.076832,80.716615
1186,28.073655,81.234061
1187,28.068792,81.751473
1188,28.062244,82.268837
1189,28.054011,82.786141
1199,27.879088,87.952755
1200,27.852350,88.468470
1201,27.823933,88.983958
1206,27.656714,91.557514
1207,27.618251,92.071354
1208,27.578118,92.584873
1209,27.536316,93.098056
1210,27.492847,93.610891
1211,27.447712,94.123365
1212,27.400913,94.635464
1213,27.352451,95.147175
1214,27.302328,95.658485
1215,27.250546,96.169382
1216,27.197106,96.679852
1217,27.142010,97.189882
1221,27.262677,69.391395
1222,27.296403,69.904193
1223,27.328460,70.417260
1224,27.358846,70.930580
1225,27.387561,71.444143
1226,27.414603,71.957932
1227,27.439971,72.471937
1228,27.463665,72.986141
1229,27.485684,73.500533
1230,27.506027,74.015098
1231,27.524693,74.529823
1232,27.541681,75.044695
1233,27.556992,75.559698
1234,27.570625,76.074820
1235,27.582578,76.590048
1236,27.592853,77.105366
1237,27.601448,77.620762
1238,27.608362,78.136222
1239,27.613597,78.651732
1240,27.617152,79.167277
1241,27.619026,79.682845
1242,27.619219,80.198422
1243,27.617732,80.713993
1244,27.614565,81.229545
1245,27.609717,81.745064
1246,27.603189,82.260536
1247,27.594981,82.775948
1248,27.585093,83.291286
1249,27.573526,83.806535
1250,27.560280,84.321683
1251,27.545356,84.836715
1257,27.420593,87.923715
1258,27.393937,88.437555
1259,27.365607,88.951171
1262,27.270592,90.490536
1263,27.235582,91.003119
1264,27.198904,91.515410
1265,27.160560,92.027396
1266,27.120551,92.539064
1267,27.078878,93.050400
1268,27.035544,93.561392
1269,26.990549,94.072027
1270,26.943895,94.582290
1271,26.895584,95.092171
1272,26.845617,95.601654
1273,26.793997,96.110728
1275,26.685801,97.127598
1279,26.804419,69.429928
1280,26.838040,69.940877
1281,26.869996,70.452091
1282,26.900287,70.963556
1283,26.928912,71.475261
1284,26.955869,71.987190
1285,26.981159,72.499332
1286,27.004779,73.011672
1287,27.026729,73.524197
1288,27.047008,74.036893
1289,27.065616,74.549748
1290,27.082552,75.062747
1291,27.097815,75.575877
1292,27.111405,76.089124
1293,27.123322,76.602476
1294,27.133564,77.115917
1295,27.142133,77.629435
1296,27.149026,78.143016
1297,27.154244,78.656647
1298,27.157788,79.170313
1299,27.159656,79.684002
1300,27.159849,80.197698
1301,27.158367,80.711390
1302,27.155209,81.225062
1303,27.150376,81.738702
1304,27.143869,82.252296
1305,27.135686,82.765830
1306,27.125829,83.279290
1307,27.114298,83.792664
1308,27.101093,84.305936
1309,27.086215,84.819095
1310,27.069665,85.332125
1311,27.051442,85.845014
1312,27.031547,86.357748
1313,27.009982,86.870314
1315,26.961841,87.894886
1316,26.935268,88.406865
1317,26.907027,88.918623
1318,26.877119,89.430144
1319,26.845546,89.941417
1320,26.812309,90.452428
1321,26.777408,90.963164
1322,26.740845,91.473611
1323,26.702622,91.983756
1324,26.662739,92.493587
1325,26.621198,93.003089
1326,26.578000,93.512251
1327,26.533147,94.021059
1328,26.486641,94.529501
1329,26.438482,95.037563
1330,26.388674,95.545232
1337,26.345941,69.468183
1338,26.379454,69.977296
1339,26.411309,70.486670
1340,26.441504,70.996294
1341,26.470038,71.506154
1342,26.496909,72.016236
1343,26.522118,72.526528
1344,26.545664,73.037017
1345,26.567544,73.547688
1346,26.587759,74.058530
1347,26.606308,74.569527
1348,26.623191,75.080668
1349,26.638406,75.591938
1350,26.651953,76.103324
1351,26.663832,76.614813
1352,26.674042,77.126391
1353,26.682583,77.638045
1354,26.689455,78.149762
1355,26.694657,78.661527
1356,26.698189,79.173327
1357,26.700051,79.685150
1358,26.700244,80.196980
1359,26.698766,80.708806
1360,26.695618,81.220612
1361,26.690801,81.732387
1362,26.684313,82.244115
1363,26.676157,82.755785
1364,26.666331,83.267382
1365,26.654836,83.778893
1366,26.641673,84.290304
1367,26.626842,84.801602
1368,26.610344,85.312773
1369,26.592179,85.823805
1370,26.572347,86.334683
1371,26.550850,86.845395
1372,26.527688,87.355927
1373,26.502862,87.866266
1374,26.476373,88.376398
1375,26.448222,88.886310
1376,26.418410,89.395989
1377,26.386937,89.905422
1378,26.353806,90.414596
1379,26.319016,90.923497
1380,26.282570,91.432113
1381,26.244468,91.940431
1382,26.204713,92.448437
1383,26.163305,92.956119
1384,26.120245,93.463464
1385,26.075537,93.970458
1386,26.029180,94.477091
1387,25.981176,94.983347
1388,25.931529,95.489216
1396,25.920677,70.013452
1397,25.952429,70.521000
1398,25.982526,71.028795
1399,26.010968,71.536824
1400,26.037753,72.045073
1401,26.062881,72.553529
1402,26.086350,73.062179
1403,26.108160,73.571011
1404,26.128310,74.080010
1405,26.146800,74.589164
1406,26.163628,75.098459
1407,26.178794,75.607883
1408,26.192298,76.117421
1409,26.204138,76.627061
1410,26.214316,77.136790
1411,26.222829,77.646593
1412,26.229679,78.156458
1413,26.234864,78.666371
1414,26.238385,79.176319
1415,26.240241,79.686289
1416,26.240433,80.196267
1417,26.238960,80.706240
1418,26.235823,81.216194
1419,26.231020,81.726117
1420,26.224554,82.235994
1421,26.216424,82.745813
1422,26.206629,83.255560
1423,26.195172,83.765221
1424,26.182051,84.274784
1425,26.167268,84.784235
1426,26.150822,85.293562
1427,26.132715,85.802749
1428,26.112948,86.311785
1429,26.091520,86.820657
1430,26.068433,87.329350
1431,26.043687,87.837852
